country,split,MASE,sMAPE,RMSE,MAPE,MSE,Coverage (80%)
DE,dev,0.34915225684323403,2.4744627597440805,1757.0328378980219,2.5057416524613934,3087164.393451976,100.0
DE,test,0.2749152299778295,1.9510409907044641,1645.407081444955,1.9281321495248145,2707364.463669205,98.95833333333334
FR,dev,0.9606661711957405,4.277174133218354,3741.563494693342,4.434973660525419,13999297.384821855,85.76388888888889
FR,test,0.2881183528178956,1.4116840367755301,1159.5585618978848,1.4086789357754896,1344576.0584706909,65.27777777777779
ES,dev,0.5210348863461446,3.2527030438392446,1305.5787941981812,3.3113315547609976,1704535.9878599765,97.56944444444444
ES,test,0.27617944428395574,1.5463775432134754,690.5172533221039,1.5304656887511747,476814.07713550265,100.0
