timestamp,y_true,yhat,yhat_lo,yhat_hi
2017-01-19 00:00:00+00:00,27650.0,27527.844914865324,27012.494739660684,28043.195090069963
2017-01-19 01:00:00+00:00,26275.0,26254.506583724065,25739.73394529755,26769.27922215058
2017-01-19 02:00:00+00:00,25825.0,25714.396533266725,24588.054534785406,26840.738531748044
2017-01-19 03:00:00+00:00,25649.0,25539.45108636339,23891.984677915843,27186.91749481094
2017-01-19 04:00:00+00:00,26250.0,26040.89147553322,23951.669709390033,28130.113241676405
2017-01-19 05:00:00+00:00,28889.0,28269.986252518578,25799.366351352928,30740.606153684228
2017-01-19 06:00:00+00:00,33920.0,32493.867082999925,29686.708884007883,35301.02528199196
2017-01-19 07:00:00+00:00,37527.0,35531.67935429357,32421.74718069405,38641.611527893096
2017-01-19 08:00:00+00:00,38984.0,37066.109169115996,33679.43485301633,40452.78348521566
2017-01-19 09:00:00+00:00,39986.0,38045.15682578413,34402.34719662867,41687.96645493959
2017-01-19 10:00:00+00:00,40295.0,38100.76457678116,34218.543871040754,41982.98528252157
2017-01-19 11:00:00+00:00,40133.0,37769.1266697964,33661.371029229806,41876.882310363
2017-01-19 12:00:00+00:00,40065.0,37646.276458778266,33324.71914470464,41967.83377285189
2017-01-19 13:00:00+00:00,38851.0,36629.05017734507,32103.77295716575,41154.32739752439
2017-01-19 14:00:00+00:00,38297.0,35958.35964441893,31238.14342859886,40678.575860239
2017-01-19 15:00:00+00:00,38119.0,35723.14002975958,30815.72104944557,40630.5590100736
2017-01-19 16:00:00+00:00,38594.0,36140.19677194388,31052.457961056694,41227.93558283107
2017-01-19 17:00:00+00:00,39898.0,38089.29180335016,32827.408725782225,43351.1748809181
2017-01-19 18:00:00+00:00,40916.0,39300.88136753953,33870.43555499025,44731.32718008881
2017-01-19 19:00:00+00:00,40900.0,39528.63035131081,33934.69879210442,45122.56191051719
2017-01-19 20:00:00+00:00,39880.0,38713.42164312194,32960.64848529888,44466.194800945
2017-01-19 21:00:00+00:00,37090.0,36174.76064484536,30267.415404935306,42082.105884755416
2017-01-19 22:00:00+00:00,33495.0,32956.67118257369,26898.696555105038,39014.64581004235
2017-01-19 23:00:00+00:00,30667.0,30226.305913957047,24021.35745316366,36431.25437475043
2017-01-20 00:00:00+00:00,28269.0,27922.017782077965,21573.497149723185,34270.53841443274
2017-01-20 01:00:00+00:00,26817.0,26767.124385722313,26254.099871770373,27280.148899674252
2017-01-20 02:00:00+00:00,26223.0,26176.016128547843,25052.865901032274,27299.16635606341
2017-01-20 03:00:00+00:00,26095.0,25963.540720644898,24320.02919774566,27607.052243544134
2017-01-20 04:00:00+00:00,26604.0,26470.292376253226,24385.452251791885,28555.132500714568
2017-01-20 05:00:00+00:00,29318.0,28734.550789953428,26268.5908840615,31200.510695845354
2017-01-20 06:00:00+00:00,34257.0,32967.982854554684,30165.701725981628,35770.26398312774
2017-01-20 07:00:00+00:00,37500.0,36007.9185642229,32903.05636911367,39112.78075933213
2017-01-20 08:00:00+00:00,39114.0,37534.742428747806,34153.321523144776,40916.16333435084
2017-01-20 09:00:00+00:00,40006.0,38614.91852343044,34977.54152022388,42252.295526637
2017-01-20 10:00:00+00:00,40116.0,38795.17815060543,34918.56661262995,42671.78968858092
2017-01-20 11:00:00+00:00,39725.0,38500.65650946048,34398.684121918595,42602.62889700237
2017-01-20 12:00:00+00:00,39293.0,38417.95106088149,34102.34846417711,42733.55365758587
2017-01-20 13:00:00+00:00,37835.0,37370.82261852359,32851.66875437507,41889.976482672115
2017-01-20 14:00:00+00:00,37048.0,36694.32887798337,31980.40168785631,41408.25606811042
2017-01-20 15:00:00+00:00,36721.0,36442.677869859195,31541.710548404266,41343.64519131412
2017-01-20 16:00:00+00:00,36795.0,36885.26415956828,31804.1365997189,41966.39171941766
2017-01-20 17:00:00+00:00,38078.0,38642.586931638005,33387.47169712205,43897.70216615396
2017-01-20 18:00:00+00:00,39120.0,39777.30839292391,34353.784086000436,45200.83269984738
2017-01-20 19:00:00+00:00,38796.0,39945.38701413103,34358.52778268143,45532.24624558064
2017-01-20 20:00:00+00:00,37945.0,39194.96875143295,33449.41600212827,44940.521500737625
2017-01-20 21:00:00+00:00,35453.0,36736.57917644521,30836.599788039704,42636.55856485071
2017-01-20 22:00:00+00:00,32611.0,33475.23638273652,27424.770516438166,39525.70224903487
2017-01-20 23:00:00+00:00,30075.0,30791.85583771679,24594.556617405524,36989.15505802805
2017-01-21 00:00:00+00:00,27757.0,28488.485676211567,22147.752433325535,34829.2189190976
2017-01-21 01:00:00+00:00,25975.0,26372.92473903379,25863.89662346404,26881.952854603544
2017-01-21 02:00:00+00:00,25056.0,25791.726986178717,24679.638770912286,26903.815201445148
2017-01-21 03:00:00+00:00,24438.0,25628.286416829378,24001.522873041165,27255.04996061759
2017-01-21 04:00:00+00:00,24417.0,26115.012361432266,24051.56732230431,28178.457400560223
2017-01-21 05:00:00+00:00,24875.0,28458.43203942526,26017.79259624436,30899.071482606163
2017-01-21 06:00:00+00:00,26463.0,32744.178741314274,29970.641333485553,35517.716149142994
2017-01-21 07:00:00+00:00,28265.0,35688.460954482514,32615.40489131464,38761.51701765039
2017-01-21 08:00:00+00:00,31408.0,37274.12956283897,33927.30722518713,40620.951900490814
2017-01-21 09:00:00+00:00,34112.0,38295.943220645255,34695.747317891306,41896.1391233992
2017-01-21 10:00:00+00:00,34792.0,38399.06637975876,34562.049791972364,42236.08296754516
2017-01-21 11:00:00+00:00,34356.0,38016.48498801692,33956.382122190465,42076.587853843375
