timestamp,y_true,yhat,yhat_lo,yhat_hi
2017-01-18 11:00:00+00:00,89584.0,89712.97768836678,88833.83275742114,90592.12261931242
2017-01-18 12:00:00+00:00,87244.0,87709.80997925266,85906.93509020582,89512.6848682995
2017-01-18 13:00:00+00:00,85102.0,85494.2386633079,82901.09527315309,88087.38205346272
2017-01-18 14:00:00+00:00,83199.0,83646.18682102604,80380.62973398544,86911.74390806665
2017-01-18 15:00:00+00:00,82893.0,83434.14590348318,79586.26952759462,87282.02227937174
2017-01-18 16:00:00+00:00,85831.0,86512.2314689639,82149.37003202733,90875.09290590047
2017-01-18 17:00:00+00:00,91463.0,91693.51521167565,86866.59526920467,96520.43515414663
2017-01-18 18:00:00+00:00,91891.0,92050.17730473317,86798.61607349891,97301.73853596742
2017-01-18 19:00:00+00:00,87827.0,88447.50089630246,82802.59523167212,94092.4065609328
2017-01-18 20:00:00+00:00,84113.0,84770.28705541609,78757.4952926873,90783.07881814489
2017-01-18 21:00:00+00:00,84263.0,85075.65512163987,78716.1369558827,91435.17328739703
2017-01-18 22:00:00+00:00,85123.0,86133.20613171812,79444.87768040742,92821.53458302883
2017-01-18 23:00:00+00:00,83039.0,83620.35309253457,76618.62506211044,90622.0811229587
2017-01-19 00:00:00+00:00,82012.0,81992.65875862431,74690.96488973084,89294.35262751779
2017-01-19 01:00:00+00:00,80935.0,81094.96031047261,80219.00609241398,81970.91452853124
2017-01-19 02:00:00+00:00,78385.0,78748.57655122264,76951.11335885612,80546.03974358915
2017-01-19 03:00:00+00:00,77577.0,77964.99398852921,75381.73476084655,80548.25321621187
2017-01-19 04:00:00+00:00,80026.0,80348.53495139873,77097.94133585009,83599.12856694737
2017-01-19 05:00:00+00:00,85907.0,85467.71862017215,81639.75853834678,89295.67870199752
2017-01-19 06:00:00+00:00,91654.0,90760.01545297058,86421.65058933059,95098.38031661056
2017-01-19 07:00:00+00:00,93256.0,93208.15574958731,88409.90259506126,98006.40890411337
2017-01-19 08:00:00+00:00,93123.0,93773.19112174824,88554.09369378668,98992.2885497098
2017-01-19 09:00:00+00:00,91987.0,93529.25413025777,87920.29122697425,99138.2170335413
2017-01-19 10:00:00+00:00,90849.0,93063.7277131739,87090.09241001446,99037.36301633333
2017-01-19 11:00:00+00:00,89715.0,92562.48948244429,86245.12072355942,98879.85824132916
2017-01-19 12:00:00+00:00,87511.0,90542.90499848562,83899.53392284158,97186.27607412967
2017-01-19 13:00:00+00:00,84979.0,88429.35205103176,81475.23269207917,95383.47140998435
2017-01-19 14:00:00+00:00,82759.0,86550.28239369225,79298.71421179634,93801.85057558816
2017-01-19 15:00:00+00:00,82303.0,86229.85517514654,78692.56559296914,93767.14475732394
2017-01-19 16:00:00+00:00,85486.0,89146.26327560445,81333.69398142048,96958.83256978841
2017-01-19 17:00:00+00:00,91437.0,94299.22404079877,86220.7496502283,102377.69843136924
2017-01-19 18:00:00+00:00,91967.0,94652.50055224799,86316.59868455402,102988.40241994197
2017-01-19 19:00:00+00:00,88379.0,90880.5907676825,82294.97650738804,99466.20502797696
2017-01-19 20:00:00+00:00,84674.0,87264.9089665231,78436.64272455592,96093.17520849028
2017-01-19 21:00:00+00:00,84856.0,87511.64014953404,78447.21531455162,96576.06498451646
2017-01-19 22:00:00+00:00,85919.0,88494.85906647937,79200.27406252749,97789.44407043126
2017-01-19 23:00:00+00:00,83686.0,86209.75316312209,76690.57130617296,95728.93502007122
2017-01-20 00:00:00+00:00,82421.0,84753.91846340163,75015.31814994443,94492.51877685882
2017-01-20 01:00:00+00:00,81286.0,81359.10657391649,80486.20255967001,82232.01058816297
2017-01-20 02:00:00+00:00,78762.0,78835.03506725427,77045.34251612636,80624.72761838218
2017-01-20 03:00:00+00:00,78093.0,78004.89974110026,75435.70681943989,80574.09266276064
2017-01-20 04:00:00+00:00,80490.0,80307.50472037483,77077.40310611513,83537.60633463452
2017-01-20 05:00:00+00:00,86024.0,85602.60618932209,81801.14230636798,89404.0700722762
2017-01-20 06:00:00+00:00,91644.0,90965.49916179874,86659.08227661508,95271.9160469824
2017-01-20 07:00:00+00:00,93696.0,92900.16574143426,88138.78861943782,97661.5428634307
2017-01-20 08:00:00+00:00,93473.0,93212.52021215382,88034.77743064835,98390.26299365929
2017-01-20 09:00:00+00:00,92073.0,92667.57466831978,87104.07230359895,98231.07703304061
2017-01-20 10:00:00+00:00,90676.0,92042.28208113235,86117.90627785593,97966.65788440876
2017-01-20 11:00:00+00:00,89130.0,91382.76663059914,85118.20220044833,97647.33106074996
2017-01-20 12:00:00+00:00,86250.0,89370.65676969985,82783.42212051424,95957.89141888547
2017-01-20 13:00:00+00:00,83307.0,87045.01936910064,80150.18816184362,93939.85057635767
2017-01-20 14:00:00+00:00,80592.0,84992.6064286692,77803.32321026715,92181.88964707125
2017-01-20 15:00:00+00:00,79886.0,84594.7487753959,77122.60631455359,92066.89123623821
2017-01-20 16:00:00+00:00,82839.0,87647.17643756489,79902.49810524973,95391.85476988005
2017-01-20 17:00:00+00:00,88414.0,93052.58136453813,85044.63681168658,101060.52591738968
2017-01-20 18:00:00+00:00,88627.0,93471.55911148214,85208.7320485787,101734.38617438558
2017-01-20 19:00:00+00:00,85389.0,89893.49162216173,81383.41248967711,98403.57075464635
2017-01-20 20:00:00+00:00,82106.0,86265.50679304755,77515.15920682705,95015.85437926804
2017-01-20 21:00:00+00:00,82851.0,86510.10022903126,77525.90749803267,95494.29296002985
2017-01-20 22:00:00+00:00,84047.0,87575.24961752942,78363.14588274623,96787.35335231261
