timestamp,event,details
2017-03-23 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.28 | Thresh: 2.26
2017-03-24 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.25 | Thresh: 2.26
2017-03-25 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.63 | Thresh: 2.26
2017-03-26 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.05 | Thresh: 2.28
2017-03-27 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.94 | Thresh: 2.44
2017-03-28 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.59 | Thresh: 2.38
2017-03-29 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.38 | Thresh: 2.38
2017-03-30 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.29 | Thresh: 2.13
2017-03-31 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.19 | Thresh: 2.13
2017-04-01 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.43 | Thresh: 2.13
2017-04-02 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.44 | Thresh: 2.13
2017-04-03 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.47 | Thresh: 2.13
2017-04-04 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.70 | Thresh: 2.21
2017-04-05 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.45 | Thresh: 2.21
2017-04-06 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.35 | Thresh: 2.17
2017-04-07 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.17 | Thresh: 2.17
2017-04-08 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.94 | Thresh: 2.17
2017-04-09 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.74 | Thresh: 2.21
2017-04-10 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.62 | Thresh: 2.21
2017-04-11 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.57 | Thresh: 2.28
2017-04-12 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.27 | Thresh: 2.28
