timestamp,y_true,yhat,error,z_score,flag_z
2017-01-18 22:00:00+00:00,60304.0,60057.951407974666,246.04859202533407,,0
2017-01-18 23:00:00+00:00,57535.0,56959.81473830226,575.1852616977412,,0
2017-01-19 00:00:00+00:00,55480.0,55009.617230631855,470.3827693681451,,0
2017-01-19 01:00:00+00:00,54426.0,53970.63915116248,455.36084883751755,,0
2017-01-19 02:00:00+00:00,54161.0,53857.80220195939,303.1977980406082,,0
2017-01-19 03:00:00+00:00,54838.0,54555.47690683374,282.52309316625906,,0
2017-01-19 04:00:00+00:00,57908.0,56685.90856638064,1222.09143361936,,0
2017-01-19 05:00:00+00:00,64442.0,62106.118017862675,2335.8819821373254,,0
2017-01-19 06:00:00+00:00,71471.0,67994.33932259756,3476.6606774024403,,0
2017-01-19 07:00:00+00:00,73435.0,70576.7636709122,2858.2363290877984,,0
2017-01-19 08:00:00+00:00,73365.0,71510.94057983151,1854.0594201684871,,0
2017-01-19 09:00:00+00:00,73766.0,72441.9157793193,1324.0842206806992,,0
2017-01-19 10:00:00+00:00,73815.0,73037.34282899088,777.657171009123,,0
2017-01-19 11:00:00+00:00,73353.0,72314.26538891923,1038.7346110807703,,0
2017-01-19 12:00:00+00:00,72381.0,71397.44648039878,983.5535196012206,,0
2017-01-19 13:00:00+00:00,71125.0,70222.62707177148,902.3729282285203,,0
2017-01-19 14:00:00+00:00,70611.0,69705.4055900566,905.5944099433982,,0
2017-01-19 15:00:00+00:00,70486.0,70213.0717570695,272.92824293050217,,0
2017-01-19 16:00:00+00:00,73810.0,73366.55791355566,443.4420864443382,,0
2017-01-19 17:00:00+00:00,74542.0,73491.70372810264,1050.2962718973577,,0
2017-01-19 18:00:00+00:00,73077.0,72069.68466589927,1007.3153341007273,,0
2017-01-19 19:00:00+00:00,69078.0,68426.0369854095,651.9630145904957,,0
2017-01-19 20:00:00+00:00,65640.0,65289.134299067155,350.86570093284536,,0
2017-01-19 21:00:00+00:00,63450.0,63641.73971744123,-191.73971744123264,,0
2017-01-25 22:00:00+00:00,59673.0,59965.48622264814,-292.48622264814185,,0
2017-01-25 23:00:00+00:00,56854.0,57096.181303455814,-242.1813034558145,,0
2017-01-26 00:00:00+00:00,54509.0,55223.65619987687,-714.6561998768666,,0
2017-01-26 01:00:00+00:00,53384.0,54349.00085972763,-965.0008597276319,,0
2017-01-26 02:00:00+00:00,53718.0,54421.8574208598,-703.8574208598002,,0
2017-01-26 03:00:00+00:00,54727.0,55129.616342585294,-402.61634258529375,,0
2017-01-26 04:00:00+00:00,57396.0,57243.89860697147,152.1013930285335,,0
2017-01-26 05:00:00+00:00,64343.0,62656.093021774934,1686.9069782250663,,0
2017-01-26 06:00:00+00:00,71226.0,68743.79779122536,2482.2022087746445,,0
2017-01-26 07:00:00+00:00,73268.0,71345.26778150036,1922.7322184996447,,0
2017-01-26 08:00:00+00:00,73311.0,72253.20156519274,1057.7984348072641,,0
2017-01-26 09:00:00+00:00,73251.0,73121.53410284877,129.46589715122536,,0
2017-01-26 10:00:00+00:00,73308.0,73638.07545149274,-330.0754514927394,,0
2017-01-26 11:00:00+00:00,73291.0,73309.72080145488,-18.72080145488144,,0
2017-01-26 12:00:00+00:00,72766.0,72300.05105655038,465.94894344962086,,0
2017-01-26 13:00:00+00:00,71491.0,71243.95552268036,247.04447731963592,,0
2017-01-26 14:00:00+00:00,70557.0,70757.82051604723,-200.820516047228,,0
2017-01-26 15:00:00+00:00,69901.0,71243.0625823968,-1342.0625823968003,,0
2017-01-26 16:00:00+00:00,73327.0,74856.90083349709,-1529.9008334970858,,0
2017-01-26 17:00:00+00:00,74868.0,75616.3469550787,-748.3469550786976,,0
2017-01-26 18:00:00+00:00,73869.0,74251.50179364166,-382.50179364165524,,0
2017-01-26 19:00:00+00:00,69511.0,70394.35130014333,-883.3513001433312,,0
2017-01-26 20:00:00+00:00,65718.0,67058.63850868968,-1340.638508689677,,0
2017-01-26 21:00:00+00:00,63339.0,65238.88655245593,-1899.8865524559296,,0
2017-02-01 22:00:00+00:00,58056.0,58506.42339114412,-450.4233911441188,,0
2017-02-01 23:00:00+00:00,54560.0,55638.41864375452,-1078.4186437545213,,0
2017-02-02 00:00:00+00:00,52188.0,53663.40685514764,-1475.4068551476375,,0
2017-02-02 01:00:00+00:00,51514.0,52672.42468446103,-1158.4246844610316,,0
2017-02-02 02:00:00+00:00,51632.0,52620.6890208328,-988.6890208327968,,0
2017-02-02 03:00:00+00:00,52500.0,53251.09868757814,-751.0986875781382,,0
2017-02-02 04:00:00+00:00,55320.0,55497.11450317429,-177.11450317429262,,0
2017-02-02 05:00:00+00:00,63004.0,61053.58644601596,1950.4135539840427,,0
2017-02-02 06:00:00+00:00,69651.0,66795.51429484345,2855.4857051565486,,0
2017-02-02 07:00:00+00:00,71330.0,69136.57366450496,2193.426335495038,,0
2017-02-02 08:00:00+00:00,71538.0,69872.391536795,1665.6084632050042,,0
2017-02-02 09:00:00+00:00,72101.0,70694.44517956993,1406.5548204300721,,0
2017-02-02 10:00:00+00:00,72852.0,71189.17813816735,1662.82186183265,,0
2017-02-02 11:00:00+00:00,72375.0,70559.57290029514,1815.4270997048588,,0
2017-02-02 12:00:00+00:00,71493.0,69639.83910327345,1853.1608967265493,,0
2017-02-02 13:00:00+00:00,70215.0,68526.16243548247,1688.8375645175256,,0
2017-02-02 14:00:00+00:00,69337.0,68038.16597095689,1298.8340290431079,,0
2017-02-02 15:00:00+00:00,68365.0,68276.27360387356,88.7263961264398,,0
